score, window_size, features, neighbors,,,,,,,,,,,,
0.8029826826161923,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf'],5,,,,,,,
0.8023954716708271,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'entropy'],25,,,,,,
0.8023019850517168,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf'],25,,,,,,,
0.8020754381951585,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'entropy'],10,,,,,,
0.8017375681460306,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf'],10,,,,,,,
0.8015431076136388,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'entropy'],50,,,,,,
0.8010784816506107,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf'],50,,,,,,,
0.7985030105815523,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'entropy'],100,,,,,,
0.7980877446855719,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf'],100,,,,,,,
0.7977610102491859,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy'],10,,,
0.7970100240227183,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge', 'h_variance', 's_variance', 'v_variance', 'entropy'],5
0.7969234030084335,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy'],5,,,
0.7963315925350758,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy'],25,,,
0.7951689203360517,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance', 'entropy'],10,,,
0.7951228576649848,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance', 'entropy'],25,,,
0.7942847222911376,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'entropy'],300,,,,,,
0.794154159727655,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'R_variance', 'G_variance', 'B_variance', 'entropy'],5
0.7941406780280373,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance', 'entropy'],50,,,
0.7940837390240821,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf'],300,,,,,,,
0.7936712526800835,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy'],50,,,
0.7933483269671795,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge', 'entropy'],5,,,
0.7930472276359978,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge', 'h_variance', 's_variance', 'v_variance', 'entropy'],10
0.7926527528669816,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy'],25,,,,,,
0.7923537155517473,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy'],25,,,,,,
0.7920758396195536,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy'],10,,,,,,
0.7916459212461417,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'R_variance', 'G_variance', 'B_variance', 'entropy'],10
0.7915280911701666,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge', 'h_variance', 's_variance', 'v_variance'],5,
0.7913161892057149,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy'],50,,,,,,
0.7912411344272631,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance', 'entropy'],5,,,
0.7911071034734696,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance', 'entropy'],100,,,
0.7910252937391009,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge', 'entropy'],10,,,
0.790885929946368,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy'],50,,,,,,
0.7907767205492906,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'R_variance', 'G_variance', 'B_variance'],5,
0.7904748113882859,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy'],5,,,,,,
0.7903846803848313,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'entropy'],5,,,
0.7902947759797013,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy'],100,,,
0.7898145136369871,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy'],10,,,,,,
0.7896056209488795,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'entropy'],10,,,
0.7889039230973005,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy'],100,,,,,,
0.7887568334812987,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy'],100,,,,,,
0.788635884118162,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'R_variance', 'G_variance', 'B_variance'],10,
0.7879345451826173,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge'],5,,,,
0.787843816547594,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge', 'h_variance', 's_variance', 'v_variance'],10,
0.7871014063208032,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge'],10,,,,
0.7867231320585123,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge'],5,,,,
0.7864327587442014,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'R_variance', 'G_variance', 'B_variance', 'entropy'],25
0.7858093557793967,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy'],300,,,
0.785678874231956,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge'],10,,,,
0.7856585701755873,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance', 'entropy'],300,,,
0.7852598416577284,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy'],300,,,,,,
0.7851724679182276,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy'],5,,,,,,
0.7848485236990359,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'entropy'],25,,,
0.7840621606806008,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy'],300,,,,,,
0.7836364311054479,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'R_variance', 'G_variance', 'B_variance'],25,
0.7835793050220577,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge', 'h_variance', 's_variance', 'v_variance', 'entropy'],25
0.7822612280532714,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge', 'entropy'],25,,,
0.7818612039951818,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge'],25,,,,
0.78108023611923,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance'],10,,,,
0.77971531820839,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance'],25,,,,
0.7793161215013893,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge', 'h_variance', 's_variance', 'v_variance'],25,
0.7791413593365729,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'R_variance', 'G_variance', 'B_variance', 'entropy'],50
0.7788595885676117,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance'],5,,,,
0.7783192645914332,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'entropy'],50,,,
0.7774525701375117,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge'],25,,,,
0.7773478044300876,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance'],50,,,,
0.7773092393273751,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance'],25,,,,
0.7769715891298355,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance'],10,,,,
